[2026-06-30T23:59:55.073Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Servilleta%20de%20Mesa%2030x29%2C5.webp → 200 (7ms, 41731B)
[2026-06-30T23:59:55.073Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/servilletaa.jpg → 200 (7ms, 6970B)
[2026-06-30T23:59:55.073Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Pepel%20Higenico%20Doble%20Hoja.jpg → 200 (7ms, 13745B)
[2026-06-30T23:59:55.073Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Papel%20Higenico%20Jumbo%20500.png → 200 (9ms, 473639B)
[2026-06-30T23:59:55.073Z] GET https://cdn.jsdelivr.net/npm/motion@latest/dist/motion.js → pending (?ms, ?B)
[2026-06-30T23:59:55.073Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/script.js → 200 (101ms, 21253B)
[2026-07-01T00:01:10.253Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/catalogo.html → 200 (?ms, 37871B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/styles.css → 200 (?ms, 41202B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Logo.JPG → 200 (1ms, 13773B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Multiuso.JPG → 200 (2ms, 38878B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Limpiavidrios.JPG → 200 (2ms, 22909B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Lavandina.JPG → 200 (3ms, 39733B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/AmonioCuaternario.JPG → 200 (5ms, 28683B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Cremoso.JPG → 200 (8ms, 22530B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Alcoholengel.JPG → 200 (9ms, 21906B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Desodorante.JPG → 200 (9ms, 29502B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Jabon_para_manos-removebg-preview.png → 200 (10ms, 101931B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Jabon%20Liquido.JPG → 200 (11ms, 38726B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/suavizante.jpg → 200 (11ms, 92901B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Ideal.JPG → 200 (12ms, 31414B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Cera.JPG → 200 (12ms, 26687B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Desengrasante.JPG → 200 (15ms, 31909B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Alcohol.JPG → 200 (15ms, 20887B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Soda.JPG → 200 (16ms, 30741B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Hipoclorito.JPG → 200 (18ms, 31183B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Perfumador.JPG → 200 (18ms, 22635B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Emulsion_Neumaticos-removebg-preview.png → 200 (18ms, 90432B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Emulsion_plasticos-removebg-preview.png → 200 (18ms, 85633B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Mulcit-removebg-preview.png → 200 (20ms, 89533B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Esencia.jpg → 200 (20ms, 16804B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Rejillas.JPG → 200 (22ms, 50707B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Pa%C3%B1os%20de%20piso.JPG → 200 (22ms, 41857B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Franelas.JPG → 200 (24ms, 34033B)
[2026-07-01T00:01:10.269Z] GET file:///C:/Users/juanc/OneDrive/Documentos/GitHub/Do-aSol/Fotos%20Dona%20sol/Guantes%20Negros.jpg → 200 (24ms, 52510B)
